post_title	post_name	sku	parent_sku	children	stock	regular_price	sold_individually	tax_status	product_url	images	product_page_url
"HS387 Right Run 25x1 (28-559) - Grey/Black"	hs387-right-run-25x1-28-559-grey-black	SNA10159012				35.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS387_RightRun.jpg ! alt :  ! title : HS387_RightRun ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs387-right-run-25x1-28-559-grey-black/
"K803A All Terrain 26x1.375 (37-559)"	k803a-all-terrain-26x1-375-37-559	K25262080314				25.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/k803a.jpg ! alt :  ! title : k803a ! desc :  ! caption : "	https://49b.pfcd.ca/product/k803a-all-terrain-26x1-375-37-559/
"K197 EuroTrek 26x1.95 (50-559)"	k197-eurotrek-26x1-95-50-559	K25260219781				25.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/K197_Grey.jpg ! alt :  ! title : K197_Grey ! desc :  ! caption : "	https://49b.pfcd.ca/product/k197-eurotrek-26x1-95-50-559/
"K905 K-Rad 26x1.95 (50-559)"	k905-k-rad-26x1-95-50-559	K212335				40.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/K905_KRad.jpg ! alt :  ! title : K905_KRad ! desc :  ! caption : "	https://49b.pfcd.ca/product/k905-k-rad-26x1-95-50-559/
"K1150 Nevegal X Pro 26x2.10 (52-559)"	k1150-nevegal-x-pro-26x2-10-52-559	K212907				65.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/k1150.jpg ! alt :  ! title : k1150 ! desc :  ! caption : "	https://49b.pfcd.ca/product/k1150-nevegal-x-pro-26x2-10-52-559/
"K917 Karma Pro 26x2.10 (54-559)"	k917-karma-pro-26x2-10-54-559	K212340				65.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/k917.jpg ! alt :  ! title : k917 ! desc :  ! caption : "	https://49b.pfcd.ca/product/k917-karma-pro-26x2-10-54-559/
"K1059 ExcavatorPro 26x1.95 (50-559)"	k1059-excavatorpro-26x1-95-50-559	K212369				70.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/K1059_Excavator.jpg ! alt :  ! title : K1059_Excavator ! desc :  ! caption : "	https://49b.pfcd.ca/product/k1059-excavatorpro-26x1-95-50-559/
"HS269 CX Pro 26x1.35 (35-559)"	hs269-cx-pro-26x1-35-35-559	SNA11100185.01				42.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS269_CXPro.jpg ! alt :  ! title : HS269_CXPro ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs269-cx-pro-26x1-35-35-559/
"HS376 Insider 26x1.35 (35-559)"	hs376-insider-26x1-35-35-559	SNA11600063.01				60.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS376_Insider.jpg ! alt :  ! title : HS376_Insider ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs376-insider-26x1-35-35-559/
"HS450 Land Cruiser 26x1.75 (47-559)"	hs450-land-cruiser-26x1-75-47-559	SNA11101033				30.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS307_LandCruiser.jpg ! alt :  ! title : HS307_LandCruiser ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs450-land-cruiser-26x1-75-47-559/
"HS469 Marathon Supreme 26x2.0 (50-559)"	hs469-marathon-supreme-26x2-0-50-559	SNA11600177.02				120.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS469.jpg ! alt :  ! title : HS469 ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs469-marathon-supreme-26x2-0-50-559/
"HS466 Jumbo Jim 26x4.0 (100-559)"	hs466-jumbo-jim-26x4-0-100-559	SNA11600715				150.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS4661.jpg ! alt :  ! title : HS4661 ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs466-jumbo-jim-26x4-0-100-559/
"Aeroflex 25x1.375 (559)"	aeroflex-25x1-375-559	2TY0089AAE				40.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/aeroflex.jpg ! alt :  ! title : aeroflex ! desc :  ! caption : "	https://49b.pfcd.ca/product/aeroflex-25x1-375-559/
"22'' Wire"	22-wire	4WH630				150.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/01/4WH625.jpg ! alt :  ! title : SpinergySpinwire.jpg ! desc :  ! caption : "	https://49b.pfcd.ca/product/22-wire/
"22'' Spinergy Extra Light Extreme"	22-spinergy-extra-light-extreme	LXL22.18.111				510.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2023/12/LXL24.18.111.jpg ! alt :  ! title : LXL24.18.111.jpg ! desc :  ! caption : "	https://49b.pfcd.ca/product/22-spinergy-extra-light-extreme/
"Marathon Reflex 25x1.35 (32-559) - Black"	marathon-reflex-25x1-35-32-559-black	SNA11100144				75.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS440_MarathonPlus.gif ! alt :  ! title : HS440_MarathonPlus ! desc :  ! caption : "	https://49b.pfcd.ca/product/marathon-reflex-25x1-35-32-559-black/
