product_name,product_sku,virtuemart_product_id,category_name,picture_url,product_discount,product_in_stock,product_price,product_sales,salesprice,taxamount,,
25'' Daily Spox c/w Nipple - White,511004-9.84WH,420,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
25'' Daily Spox c/w Nipple - Yellow,511004-9.84YL,421,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
26'' Daily Spox c/w Nipple - Red,511004-10.47RD,422,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
26'' Daily Spox c/w Nipple - White,511004-10.47WH,423,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
26'' Daily Spox c/w Nipple - Yellow,511004-10.47YL,424,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
26'' Daily Spox c/w Nipple - Black,511004-10.47BK,425,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
26'' Daily Spox c/w Nipple - Blue,511004-10.47BL,426,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
Spinergy Spox Sport c/w Nipple,511004-9.89BK,428,Spokes,/images/stories/virtuemart/product/511004-875BK.jpg,,-2,12,2,12,0,,
25'' Spinergy Spox Sport c/w Nipple - Red,511004-9.89RD,429,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
25'' Spinergy Spox Sport c/w Nipple - White,511004-9.89WH,430,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
25'' Spinergy Spox Sport c/w Nipple - Yellow,511004-9.89YL,431,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
25'' Spinergy Spox Sport c/w Nipple - Blue,511004-9.89BL,432,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
26'' Spinergy Spox Sport c/w Nipple - Red,511004-10.53RD,433,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
26'' Spinergy Spox Sport c/w Nipple - White,511004-10.53WH,434,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
26'' Spinergy Spox Sport c/w Nipple - Yellow,511004-10.53YL,435,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
26'' Spinergy Spox Sport c/w Nipple - Black,511004-10.53BK,436,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
26'' Spinergy Spox Sport c/w Nipple - Blue,511004-10.53BL,437,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
700c Spinergy Spox Sport c/w Nipple - Black,511004-11.09BK,438,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
22'' Spoke Extreme Daily c/w Nipple - Black,511291-8.75BK,440,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
Spoke Extreme Daily c/w Nipple,511291-9.50BK,441,Spokes,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
24'' Spoke Extreme Daily c/w Nipple - Blue,511291-9.50BL,442,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
24'' Spoke Extreme Daily c/w Nipple - Green,511291-9.50GN,443,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
24'' Spoke Extreme Daily c/w Nipple - Orange,511291-9.50OR,444,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
24'' Spoke Extreme Daily c/w Nipple - Pink,511291-9.50PK,445,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
24'' Spoke Extreme Daily c/w Nipple - red,511291-9.50RD,446,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
24'' Spoke Extreme Daily c/w Nipple - White,511291-9.50WH,447,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
24'' Spoke Extreme Daily c/w Nipple - Yellow,511291-9.50YL,448,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
25'' Spoke Extreme Daily c/w Nipple - Orange,511291-9.84OR,449,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
25'' Spoke Extreme Daily c/w Nipple - Pink,511291-9.84PK,450,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
25'' Spoke Extreme Daily c/w Nipple - Red,511291-9.84RD,451,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
25'' Spoke Extreme Daily c/w Nipple - White,511291-9.84WH,452,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
25'' Spoke Extreme Daily c/w Nipple - Yellow,511291-9.84YL,453,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
25'' Spoke Extreme Daily c/w Nipple - Black,511291-9.84BK,454,,/images/stories/virtuemart/product/511004-875BK.jpg,,,18,,18,0,,
